record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
62734,S92000003,P,1,2,7,2,2,2,2,1,1,5,X,X,X,4
62777,S92000003,P,1,1,2,1,1,2,1,3,6,4,X,X,X,4
62788,S92000003,P,4,1,2,1,1,1,1,3,7,4,X,X,X,2
62797,S92000003,P,5,2,7,2,2,1,2,1,9,5,X,X,X,4
62916,S92000003,P,2,2,3,1,2,1,2,1,1,3,X,X,X,3
62999,S92000003,P,1,1,2,1,2,1,2,1,9,3,X,X,X,3
63014,S92000003,P,4,2,3,1,2,1,1,1,2,3,X,X,X,4
63029,S92000003,P,1,2,7,2,2,1,2,1,1,5,X,X,X,2
63044,S92000003,P,2,2,2,1,1,1,1,1,1,4,X,X,X,3
63138,S92000003,P,0,1,7,5,2,1,3,1,2,5,X,X,X,4
63185,S92000003,P,1,2,4,2,2,2,3,3,6,3,X,X,X,3
63202,S92000003,P,0,2,6,3,2,1,4,1,2,5,X,X,X,4
63315,S92000003,C,X,1,7,5,2,1,2,1,1,5,X,X,X,X
63359,S92000003,P,1,1,3,1,2,1,2,1,1,3,X,X,X,4
